WorkOrderID,UnitID,ReportedByEntityID,ReportedByEntityType,SubmissionDate,Description,Category,Status,ValidationDate,ScheduledDate,CompletionDate,VerificationDate,ClosedDate,InvoiceReceivedDate,InvoicePaidDate,VendorID,EstimatedCost,ActualCost,OwnerApprovalRequired,OwnerApprovalDate,OwnerFundsReceivedDate,IsMakeReadyTurnover,TurnoverID
WO1,U1,T1,Tenant,10/06/2024 09:00,Leaky faucet in kitchen,Plumbing,Closed,10/06/2024 10:00,11/06/2024 08:00,11/06/2024 11:00,12/06/2024 09:00,12/06/2024 10:00,11/06/2024,15/06/2024,V1,150,165,FALSE,,,FALSE,
WO2,U4,Staff,Staff,01/06/2024 09:00,Full make-ready cleaning and touch-up paint,Cleaning/Paint,Closed,01/06/2024 10:00,03/06/2024 08:00,04/06/2024 17:00,05/06/2024 09:00,05/06/2024 10:00,04/06/2024,10/06/2024,V2,800,750,FALSE,,,TRUE,T1
WO3,U5B,Staff,Staff,16/06/2024 08:00,"Repair hole in drywall, repaint living room",Drywall/Paint,Verified,16/06/2024 09:00,18/06/2024 08:00,19/06/2024 17:00,20/06/2024 09:00,,19/06/2024,,V3,500,550,FALSE,,,TRUE,T2
WO4,U8B,Staff,Staff,01/07/2024 09:00,Replace damaged flooring in kitchen,Flooring,Completed,01/07/2024 10:00,03/07/2024 08:00,05/07/2024 17:00,02/07/2024 10:00,03/07/2024 09:00,05/07/2024,,V4,1200,1350,TRUE,,,TRUE,T3
WO5,U11B,Staff,Staff,02/07/2024 08:00,Deep clean and carpet cleaning,Cleaning,Closed,02/07/2024 09:00,03/07/2024 08:00,03/07/2024 12:00,05/07/2024 09:00,05/07/2024 10:00,03/07/2024,10/07/2024,V2,300,280,FALSE,,,TRUE,T4
WO6,U14B,Staff,Staff,02/07/2024 09:00,Replace light fixtures in bedrooms,Electrical,Verified,02/07/2024 10:00,05/07/2024 08:00,05/07/2024 11:00,08/07/2024 09:00,09/07/2024 10:00,05/07/2024,12/07/2024,V5,250,220,FALSE,,,TRUE,T5
WO7,U1,T1,Tenant,01/07/2024 10:00,AC not cooling,HVAC,Closed,01/07/2024 11:00,01/07/2024 14:00,01/07/2024 16:00,02/07/2024 09:00,02/07/2024 10:00,01/07/2024,05/07/2024,V6,350,400,FALSE,,,FALSE,
WO8,U2,T2,Tenant,15/06/2024 09:00,Dishwasher not draining,Appliance,Closed,15/06/2024 10:00,17/06/2024 09:00,17/06/2024 11:00,18/06/2024 09:00,18/06/2024 10:00,17/06/2024,20/06/2024,V7,200,210,FALSE,,,FALSE,
WO9,U3,T3,Tenant,10/07/2024 14:00,Garbage disposal jammed,Plumbing,Closed,10/07/2024 14:30,10/07/2024 16:00,10/07/2024 17:00,11/07/2024 09:00,11/07/2024 10:00,10/07/2024,15/07/2024,V1,100,90,FALSE,,,FALSE,
WO10,U6,T7,Tenant,20/06/2024 11:00,Garage door opener broken,Garage,Closed,20/06/2024 12:00,21/06/2024 09:00,21/06/2024 10:00,24/06/2024 09:00,24/06/2024 10:00,21/06/2024,25/06/2024,V8,300,325,FALSE,,,FALSE,
